name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
I Don't Sleep (ft. Takeoff),Lil Wayne,03TzvVWdkVbLT9pzewYiDw,no,no,0.5870000000000001,0.635,-6.369,0.422,0.0785,0.0,0.175,0.758,0.08111763910891087,0.6516212871287125,0.6947821782178221,0.0005100060148514852,0.21336064356435647,0.2241915841584161,0.4863653465346533
Adicto,Fuerza Regida,5mvQxewFOB8Ft4Wz13AwWj,no,no,0.799,0.757,-5.221,0.0392,0.457,0.000117,0.0799,0.897,0.4545882352941178,0.726235294117647,0.658764705882353,0.0002141305882352941,0.1374529411764706,0.044311764705882335,0.8917647058823529
Situation,Don Toliver,7w0BSw2zbz5k2YY7FOAsSm,no,no,0.482,0.634,-7.971,0.0847,0.261,1.59e-06,0.204,0.7140000000000001,0.25390062499999994,0.7027499999999998,0.6282187499999999,0.02139907375,0.2005375,0.07242187499999997,0.4645
Pussy Is God,King Princess,6VCeywT4JeawuZOUkQ1okx,no,no,0.7390000000000001,0.621,-6.9289999999999985,0.238,0.049,0.00369,0.0718,0.462,0.3206666666666667,0.6171666666666666,0.5669999999999998,0.0016939500000000005,0.12493333333333333,0.11054999999999998,0.44616666666666666
Drown - New,Bring Me The Horizon,6o39Ln9118FKTMbM4BvcEy,no,no,0.405,0.94,-3.103,0.0844,0.000102,2.79e-05,0.7190000000000001,0.24,0.021223090140845058,0.3524929577464791,0.8912816901408448,0.012720993521126758,0.2821661971830985,0.11105352112676056,0.22272394366197185
Bad Idea,pxzvc,1D5q7cBDHLBDbzQDVrS6E3,no,no,0.852,0.41,-9.498,0.0602,0.0848,0.16699999999999998,0.142,0.467,0.0848,0.852,0.41,0.16699999999999998,0.142,0.0602,0.467
Like I Used To,Tinashe,3fMKnwiByu9yfeD5ISn9Et,no,no,0.7170000000000001,0.599,-6.1560000000000015,0.115,0.5710000000000001,8.99e-06,0.102,0.385,0.16339571428571426,0.7955,0.5778571428571428,0.005227734285714286,0.17092857142857146,0.07107142857142858,0.3473571428571428
HighSchool,ION LIL GUT,5A5I22otsloR7rmsiIq0R8,no,no,0.7120000000000001,0.6679999999999999,-8.526,0.0386,0.0501,0.0,0.253,0.217,0.0501,0.7120000000000001,0.6679999999999999,0.0,0.253,0.0386,0.217
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,1nueTG77MzNkJTKQ0ZdGzT,no,no,0.7829999999999999,0.61,-6.124,0.0696,0.343,0.0,0.0983,0.418,0.12949015602836875,0.6531276595744685,0.7240212765957446,1.0932553191489363e-05,0.21692127659574453,0.05773687943262418,0.5667021276595745
Walker Texas Ranger,DaBaby,0eBOVXdnrVQ0rITgKXBAA7,no,no,0.873,0.682,-5.869,0.377,0.025,0.0,0.0685,0.799,0.09311292929292928,0.8292828282828286,0.6576262626262627,2.303434343434344e-06,0.17042525252525248,0.2847252525252526,0.6293737373737373
Sense of Home,Harrison Storm,68wibJU4yMiqNX79IaLAsN,no,no,0.564,0.207,-10.925999999999998,0.032,0.892,1.8e-06,0.102,0.0898,0.892,0.564,0.207,1.8000000000000001e-06,0.102,0.032,0.0898
